# register-baseline.txt - violations of tools/check-register.ps1 that PREDATE the check (D109, rule 25).
#
# This is a RATCHET, not an exemption list. Everything here was already in the corpus when the check
# was written; recorded rather than fixed in the same commit, because fixing and detecting together
# makes it impossible to tell whether the check works. Anything NOT listed here fails the build.
#
# The file may only shrink. When a line is fixed, the check reports it as stale - delete it then.
#
# All 63 are check 3b: a document cites a SUPERSEDED decision without naming its successor.
#   D87  -> D109    (38)  the worked example: the widening target moved to separate arenas
#   D102 -> D107    (13)  the freeze-gate category decision
#   D46  -> D79-D82 (12)  the retired daily-sentiment framing

[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\INTEGRATIONS_v1.9.md:56
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\INTEGRATIONS_v1.9.md:57
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\MASTER_DESIGN_v1.9.md:117
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\POST_PHASE8_IMPROVEMENTS.md:33
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\POST_PHASE8_PLAN.md:46
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\REBUILD.md:178
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\REBUILD.md:194
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\REBUILD.md:196
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\RUNBOOK_v1.9.md:166
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\RUNBOOK_v1.9.md:175
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\SETUP_v1.9.md:15
[3b] D87 is superseded-by D109 but is cited without naming its successor at docs\STRATEGY_CATALOG_v1.9.md:120
[3b] D87 is superseded-by D109 but is cited without naming its successor at ORIENTATION.md:9
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:201
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:203
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:248
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:25
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:32
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:33
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:6
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:922
[3b] D87 is superseded-by D109 but is cited without naming its successor at PROGRESS.md:948
[3b] D87 is superseded-by D109 but is cited without naming its successor at src\AlphaLab.Data\Services\HistoricalBackfill.cs:20
[3b] D87 is superseded-by D109 but is cited without naming its successor at src\AlphaLab.Data\Services\HistoricalBackfill.cs:82
